Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
Assignment_01.pdf;113155;"Ole Daniel";Brenner;343;"08.04.2026 15:11";Assignment_01.pdf
Debug01.zip;614;"Ole Daniel";Brenner;59;"08.04.2026 15:11";Debug01.zip
